ステップ見出しタイトル 一意一覧（意味グループ順）
抽出対象: Math_Prompt直下の m-*.txt（Math_Question内の生成問題は除外）
一意タイトル数: 1576
形式: グループ	タイトル	出現数	例
05 代入する・値を入れる	比例の式に $x=-2$ を代入する	1	m-jh1-B-03-04b.txt:71
05 代入する・値を入れる	求めた $x=1$ を②に代入して $y$ を求める	1	m-jh2-A-03-05b.txt:211
05 代入する・値を入れる	求めた $x=2$ を式①に代入して $y$ を求める	1	m-jh2-A-03-02b.txt:168
05 代入する・値を入れる	求めた $y=-3$ を式②に代入して $x$ を求める	1	m-jh2-A-03-02b.txt:106
05 代入する・値を入れる	求めた $y=2$ を②に代入して $x$ を求める	1	m-jh2-A-03-02s.txt:107
05 代入する・値を入れる	求めた $y=3$ を②に代入して $x$ を求める	1	m-jh2-A-03-02s.txt:170
05 代入する・値を入れる	求めた $y=5$ を①に代入して $x$ を求める	1	m-jh2-A-03-05b.txt:119
05 代入する・値を入れる	端の値を代入して最小値を求める	1	m-jh3-B-01-06b.txt:167
05 代入する・値を入れる	近似値を代入する	2	m-jh3-A-04-18b.txt:82, m-jh3-A-04-18b.txt:135

## 06 式変形・整理・展開する
06 式変形・整理・展開する	$2x$ を $x$ にするために、両辺を $\hlblue{2\text{でわる}}$	1	m-jh1-A-03-03s.txt:80
06 式変形・整理・展開する	$\frac{x}{3}$ を $x$ にするために、両辺に $\hlblue{3\text{をかける}}$	1	m-jh1-A-03-03s.txt:116
06 式変形・整理・展開する	$\hlblue{\sqrt{2}}$ をかっこの中の各項にかける	1	m-jh3-A-04-14b.txt:82
06 式変形・整理・展開する	$\hlblue{\sqrt{3}}$ をかっこの中の各項にかける	2	m-jh3-A-04-14b.txt:134, m-jh3-A-04-14s.txt:80
06 式変形・整理・展開する	ax=bの形に整理する	1	m-jh3-A-01-01b.txt:62
06 式変形・整理・展開する	①のかっこをはずして整理する	1	m-jh2-A-03-07b.txt:85
06 式変形・整理・展開する	①の両辺を $10$ 倍する	1	m-jh2-A-03-09b.txt:88
06 式変形・整理・展開する	①の両辺を $2$ 倍して、$x$ の係数をそろえる	2	m-jh2-A-03-03b.txt:86, m-jh2-A-03-03s.txt:86
06 式変形・整理・展開する	①の両辺を $2$ 倍する	1	m-jh2-A-03-08b.txt:87
06 式変形・整理・展開する	①の両辺を $3$ 倍する	1	m-jh2-A-03-08b.txt:144
06 式変形・整理・展開する	①の分母をはらうために、2つの分数の分母の最小公倍数 $12$ を両辺にかける	1	m-jh2-A-03-08s.txt:83
06 式変形・整理・展開する	①を $y=$ の形に変形する	1	m-jh2-A-03-11s.txt:95
06 式変形・整理・展開する	②の両辺を $2$ 倍して、$x$ の係数をそろえる	1	m-jh2-A-03-03b.txt:156
06 式変形・整理・展開する	②の分母をはらうために、2つの分数の分母の最小公倍数 $6$ を両辺にかける	1	m-jh2-A-03-08s.txt:179
06 式変形・整理・展開する	「$-(\ )$」のかっこをはずす	1	m-jh1-A-02-09s.txt:144
06 式変形・整理・展開する	「10になります」を等号でつなぐ	1	m-jh1-A-02-10b.txt:72
06 式変形・整理・展開する	かけ算の順序を変えて、かっこの外の数を作る	1	m-jh1-A-02-07b.txt:197
06 式変形・整理・展開する	かっこのない式になおす	8	m-jh1-A-01-08b.txt:76, m-jh1-A-01-08b.txt:116, m-jh1-A-01-08b.txt:160, m-jh1-A-01-08b.txt:194, m-jh1-A-01-08b.txt:231
06 式変形・整理・展開する	かっこの中の符号に注意して分配する	1	m-jh1-A-02-09b.txt:94
06 式変形・整理・展開する	かっこの中を2乗する	1	m-jh3-A-04-03s.txt:121
06 式変形・整理・展開する	かっこの中全体を2乗する	2	m-jh3-A-04-03b.txt:143, m-jh3-A-04-03s.txt:80
06 式変形・整理・展開する	かっこの中を計算する	6	m-jh1-A-01-12b.txt:88, m-jh1-A-01-12b.txt:126, m-jh1-A-01-12b.txt:166, m-jh1-A-01-12b.txt:204, m-jh1-A-01-17b.txt:158
06 式変形・整理・展開する	かっこをはずして、すべての項を足し合わせる	1	m-jh2-A-01-05b.txt:75
06 式変形・整理・展開する	かっこをはずして展開する	1	m-jh1-A-03-07s.txt:130
06 式変形・整理・展開する	かっこをはずす	5	m-jh1-A-02-06b.txt:248, m-jh1-A-02-06s.txt:103, m-jh2-A-01-05s.txt:123, m-jh2-A-03-07s.txt:165, m-jh3-A-01-09s.txt:125
06 式変形・整理・展開する	かっこをはらって整理し、$y$ を求める	1	m-jh2-A-03-06s.txt:103
06 式変形・整理・展開する	かっこをはらって整理する	2	m-jh2-A-03-05b.txt:97, m-jh2-A-03-05b.txt:190
06 式変形・整理・展開する	かっこを外す	1	m-jh3-A-01-09s.txt:80
06 式変形・整理・展開する	かっこを展開する	1	m-jh3-A-05-07b.txt:71
06 式変形・整理・展開する	かっこ内を先に計算する方法と，「積の$2$乗はそれぞれの$2$乗の積になる」方法がある	1	m-jh1-A-01-11b.txt:224
06 式変形・整理・展開する	それぞれのかっこに分配法則を使う	1	m-jh1-A-02-09s.txt:173
06 式変形・整理・展開する	それぞれのかっこをはずす	1	m-jh3-A-01-03s.txt:118
06 式変形・整理・展開する	それぞれのかっこを展開する	1	m-jh3-A-01-03s.txt:78
06 式変形・整理・展開する	それぞれの積を展開する	1	m-jh3-A-01-04s.txt:111
06 式変形・整理・展開する	ひき算をたし算の形にして、同類項どうしを同じ色で確認する	2	m-jh2-A-01-05b.txt:80, m-jh2-A-01-05s.txt:82
06 式変形・整理・展開する	まずかっこの積を展開する	1	m-jh3-A-01-04s.txt:68
06 式変形・整理・展開する	まず分配法則でかっこをはずす	1	m-jh1-A-02-09b.txt:142
06 式変形・整理・展開する	もとの式に戻して整理する	6	m-jh3-A-04-14s.txt:107, m-jh3-A-04-14s.txt:157, m-jh3-A-04-15s.txt:100, m-jh3-A-04-15s.txt:151, m-jh3-A-04-15s.txt:207
06 式変形・整理・展開する	もとの式に戻して等号でつなぐ	2	m-jh3-A-01-04s.txt:78, m-jh3-A-01-04s.txt:127
06 式変形・整理・展開する	マイナスがついたかっこをはずす	1	m-jh2-A-01-05s.txt:74
06 式変形・整理・展開する	両辺に $10$ をかけて小数をなくす	1	m-jh1-A-03-06b.txt:69
06 式変形・整理・展開する	両辺に $10$ をかける	1	m-jh1-A-03-06b.txt:97
06 式変形・整理・展開する	両辺に $2$ をかける	1	m-jh1-A-03-07b.txt:93
06 式変形・整理・展開する	両辺に $2^2$ を加える	1	m-jh3-A-05-05s.txt:129
06 式変形・整理・展開する	両辺に $3$ をかけて分数をなくす	1	m-jh2-A-02-03s.txt:76
06 式変形・整理・展開する	両辺に $3$ をかける	1	m-jh1-A-03-07b.txt:70
06 式変形・整理・展開する	両辺に $5$ をかけて分数をなくす	1	m-jh2-A-02-03s.txt:108
06 式変形・整理・展開する	両辺に $\frac{25}{4}$ を加えて平方完成する	1	m-jh3-A-05-05s.txt:199
06 式変形・整理・展開する	両辺に $\frac{4}{3}$ をかける	1	m-jh1-B-01-15b.txt:104
06 式変形・整理・展開する	両辺に $\hlblue{100}$ をかけて小数をなくす	1	m-jh1-A-03-06s.txt:121
06 式変形・整理・展開する	両辺に $\hlblue{10}$ をかけて小数をなくす	1	m-jh1-A-03-06s.txt:73
06 式変形・整理・展開する	両辺に $\hlblue{6}$ をかけて分数をなくす	1	m-jh1-A-03-07s.txt:73
06 式変形・整理・展開する	両辺に $\hlblue{9}$ をかけて分数をなくす	1	m-jh1-A-03-07s.txt:120
06 式変形・整理・展開する	両辺に同じ数をかける	1	m-jh3-A-01-01b.txt:59
06 式変形・整理・展開する	両辺の平方根をとる	4	m-jh3-A-05-04b.txt:74, m-jh3-A-05-04b.txt:109, m-jh3-A-05-05s.txt:138, m-jh3-A-05-05s.txt:209
06 式変形・整理・展開する	両辺の平方根を考える	2	m-jh3-A-05-05b.txt:114, m-jh3-A-05-05b.txt:170
06 式変形・整理・展開する	両辺を $-3$ でわる	2	m-jh1-A-03-04s.txt:120, m-jh1-A-03-05s.txt:148
06 式変形・整理・展開する	両辺を $2$ でわって $x$ を求める	1	m-jh1-A-03-07s.txt:94
06 式変形・整理・展開する	両辺を $2$ でわる	3	m-jh1-A-03-05b.txt:86, m-jh1-A-03-06b.txt:77, m-jh3-A-05-07b.txt:120
06 式変形・整理・展開する	両辺を $3$ でわる	4	m-jh1-A-03-04s.txt:84, m-jh1-A-03-05b.txt:123, m-jh1-B-01-15b.txt:76, m-jh2-A-02-03b.txt:100
06 式変形・整理・展開する	両辺を $3$ 倍する	1	m-jh3-A-05-04s.txt:80
06 式変形・整理・展開する	両辺を $36$ でわる	1	m-jh1-A-03-06s.txt:143
06 式変形・整理・展開する	両辺を $4$ でわる	3	m-jh1-A-03-08b.txt:112, m-jh1-A-03-08s.txt:86, m-jh3-A-05-04s.txt:185
06 式変形・整理・展開する	両辺を $5$ でわる	1	m-jh1-A-03-06b.txt:113
06 式変形・整理・展開する	両辺を $50$ でわる	1	m-jh3-A-05-04s.txt:132
06 式変形・整理・展開する	両辺を $6$ でわる	2	m-jh1-A-03-06s.txt:94, m-jh1-A-03-08b.txt:81
06 式変形・整理・展開する	両辺を $S$ でわり、$h$ だけを左辺に残す	1	m-jh2-A-02-03s.txt:85
06 式変形・整理・展開する	両辺を $b$ でわる	1	m-jh2-A-02-03b.txt:127
06 式変形・整理・展開する	両辺を「3」でわる	1	m-jh1-A-03-04b.txt:211
06 式変形・整理・展開する	交換法則・結合法則を使って、数の部分を先に計算する	2	m-jh1-A-02-08b.txt:77, m-jh1-A-02-08b.txt:107
06 式変形・整理・展開する	交換法則・結合法則を使って、数の部分を計算する	1	m-jh1-A-02-08b.txt:173
06 式変形・整理・展開する	交換法則・結合法則を使って計算する	3	m-jh1-A-01-10b.txt:91, m-jh1-A-01-10b.txt:137, m-jh1-A-01-10b.txt:183
06 式変形・整理・展開する	係数どうし、同じ文字どうしが並ぶように順番を変える	2	m-jh2-A-01-10s.txt:85, m-jh2-A-01-10s.txt:131
06 式変形・整理・展開する	係数どうし、文字どうしが並ぶように順番を変える	3	m-jh2-A-01-10b.txt:86, m-jh2-A-01-10b.txt:128, m-jh2-A-01-10b.txt:170
06 式変形・整理・展開する	係数を整数にする	1	m-jh3-A-01-01b.txt:61
06 式変形・整理・展開する	共通の数でくくる（分配法則の逆）	1	m-jh1-A-01-17s.txt:183
06 式変形・整理・展開する	共通因数をくくりだして、同類項をまとめる	2	m-jh2-A-01-05b.txt:90, m-jh2-A-01-05b.txt:131
06 式変形・整理・展開する	分配法則でかっこをはずす	2	m-jh1-A-03-05b.txt:69, m-jh1-A-03-05b.txt:106
06 式変形・整理・展開する	分配法則を使う	11	m-jh1-A-01-17b.txt:69, m-jh1-A-01-17b.txt:97, m-jh1-A-01-17b.txt:125, m-jh1-A-01-17s.txt:80, m-jh1-A-01-17s.txt:116
06 式変形・整理・展開する	分配法則を使って、かっこをはずす	6	m-jh1-A-03-05s.txt:72, m-jh1-A-03-05s.txt:124, m-jh2-A-01-08b.txt:71, m-jh2-A-01-08b.txt:104, m-jh2-A-01-09b.txt:73
06 式変形・整理・展開する	分配法則を使って、一つ目のかっこをはずす	1	m-jh3-A-01-04b.txt:99
06 式変形・整理・展開する	分配法則を使って、残りのかっこをはずす	1	m-jh3-A-01-04b.txt:107
06 式変形・整理・展開する	分配法則を使ってかっこをはずす	7	m-jh2-A-01-06b.txt:69, m-jh2-A-01-06b.txt:96, m-jh2-A-01-06s.txt:70, m-jh2-A-01-06s.txt:109, m-jh3-A-01-03b.txt:91
06 式変形・整理・展開する	分配法則を使って展開する	9	m-jh3-A-01-01b.txt:58, m-jh3-A-01-01b.txt:86, m-jh3-A-01-01b.txt:113, m-jh3-A-01-01s.txt:68, m-jh3-A-01-01s.txt:106
06 式変形・整理・展開する	分配法則を使って計算が簡単になる形に変形する	2	m-jh1-A-01-17s.txt:76, m-jh1-A-01-17s.txt:111
06 式変形・整理・展開する	分配法則を利用して、かっこをはずす	5	m-jh2-A-01-05b.txt:112, m-jh2-A-01-08s.txt:69, m-jh2-A-01-08s.txt:98, m-jh2-A-01-09s.txt:73, m-jh2-A-01-09s.txt:102
06 式変形・整理・展開する	分配法則を利用してかっこをはずす	7	m-jh2-A-01-07b.txt:81, m-jh2-A-01-07b.txt:124, m-jh2-A-01-07s.txt:80, m-jh2-A-01-07s.txt:128, m-jh3-A-01-02b.txt:84
06 式変形・整理・展開する	分配法則を確認する	4	m-jh3-A-04-14b.txt:74, m-jh3-A-04-14b.txt:126, m-jh3-A-04-14s.txt:75, m-jh3-A-04-14s.txt:133
06 式変形・整理・展開する	加法の交換法則で、正の項どうし・負の項どうしを並べる	2	m-jh1-A-01-06b.txt:165, m-jh1-A-01-06b.txt:208
06 式変形・整理・展開する	加法の交換法則で、正の項を先に集める	1	m-jh1-A-01-06b.txt:122
06 式変形・整理・展開する	加法の交換法則で、計算しやすい順に並べ替える	1	m-jh1-A-01-06b.txt:78
06 式変形・整理・展開する	加法の結合法則で、同じ符号どうしをまとめる	1	m-jh1-A-01-06b.txt:85
06 式変形・整理・展開する	加法の結合法則で、正の項どうしを先にまとめる	1	m-jh1-A-01-06b.txt:129
06 式変形・整理・展開する	右辺の $\hlblue{-14}$ を左辺に移項する	1	m-jh1-A-03-04b.txt:194
06 式変形・整理・展開する	右辺の引き算を通分して計算する	1	m-jh1-A-03-04b.txt:130
06 式変形・整理・展開する	同類項どうしを同じ色で確認する	3	m-jh2-A-01-04b.txt:158, m-jh2-A-01-05b.txt:121, m-jh2-A-01-05s.txt:131
06 式変形・整理・展開する	同類項どうしを確認する	4	m-jh2-A-01-04b.txt:77, m-jh2-A-01-04b.txt:116, m-jh2-A-01-04s.txt:78, m-jh2-A-01-04s.txt:124
06 式変形・整理・展開する	同類項をまとめる	10	m-jh1-A-02-09b.txt:152, m-jh1-A-02-09s.txt:150, m-jh1-A-03-04s.txt:79, m-jh1-A-03-04s.txt:115, m-jh1-A-03-05s.txt:90
06 式変形・整理・展開する	同類項を共通因数でくくってまとめる	3	m-jh2-A-01-04b.txt:87, m-jh2-A-01-04b.txt:126, m-jh2-A-01-04b.txt:168
06 式変形・整理・展開する	問題で示された式を順番に変形する	5	m-jh1-A-01-16s.txt:74, m-jh1-A-01-16s.txt:104, m-jh1-A-01-16s.txt:134, m-jh1-A-01-16s.txt:164, m-jh1-A-01-16s.txt:195
06 式変形・整理・展開する	変形しなくても有理数だとわかるものを探す	3	m-jh3-A-04-06b.txt:86, m-jh3-A-04-06b.txt:147, m-jh3-A-04-06s.txt:77
06 式変形・整理・展開する	定数を移項して $y$ を求める	1	m-jh2-A-03-05b.txt:108
06 式変形・整理・展開する	展開して整理する	3	m-jh3-A-01-10b.txt:91, m-jh3-A-01-10b.txt:138, m-jh3-A-01-10s.txt:143
06 式変形・整理・展開する	展開する	1	m-jh3-A-01-10s.txt:126
06 式変形・整理・展開する	展開をする	1	m-jh3-A-01-10s.txt:92
06 式変形・整理・展開する	左のかっこの各項を、右のかっこの各項にかける	1	m-jh3-A-04-14s.txt:137
06 式変形・整理・展開する	左辺の $+4$ をなくすために、両辺から $\hlblue{4\text{をひく}}$	1	m-jh1-A-03-03s.txt:107
06 式変形・整理・展開する	左辺の $-5$ をなくすために、両辺に $\hlblue{5\text{をたす}}$	1	m-jh1-A-03-03s.txt:71
06 式変形・整理・展開する	左辺の $\hlblue{+5}$ を右辺に移項する	1	m-jh1-A-03-06s.txt:83
06 式変形・整理・展開する	左辺の $\hlblue{+6}$ を右辺に移項する	1	m-jh1-A-03-07s.txt:83
06 式変形・整理・展開する	左辺の $\hlblue{+\frac{5}{3}}$ を右辺に移項する	1	m-jh1-A-03-04b.txt:119
06 式変形・整理・展開する	左辺の $\hlblue{-8}$ を右辺に移項する	2	m-jh1-A-03-04b.txt:72, m-jh1-A-03-04b.txt:153
06 式変形・整理・展開する	左辺を $x$ だけにするために、両辺から $\hlblue{3\text{をひく}}$	2	m-jh1-A-03-03b.txt:134, m-jh1-A-03-03b.txt:166
06 式変形・整理・展開する	左辺を $x$ だけにするために、両辺に $\hlblue{-7\text{をかける}}$	1	m-jh1-A-03-03b.txt:230
06 式変形・整理・展開する	左辺を $x$ だけにするために、両辺に $\hlblue{3\text{をかける}}$	1	m-jh1-A-03-03b.txt:198
06 式変形・整理・展開する	左辺を $x$ だけにするために、両辺に $\hlblue{3\text{をたす}}$	1	m-jh1-A-03-03b.txt:70
06 式変形・整理・展開する	左辺を $x$ だけにするために、両辺に $\hlblue{6\text{をたす}}$	1	m-jh1-A-03-03b.txt:102
06 式変形・整理・展開する	左辺を $x$ だけにするために、両辺を $\hlblue{-5\text{でわる}}$	1	m-jh1-A-03-03b.txt:294
06 式変形・整理・展開する	左辺を $x$ だけにするために、両辺を $\hlblue{2\text{でわる}}$	1	m-jh1-A-03-03b.txt:262
06 式変形・整理・展開する	左辺を展開して整理する	1	m-jh3-A-05-09s.txt:87
06 式変形・整理・展開する	左辺を展開する	2	m-jh3-A-05-07s.txt:74, m-jh3-A-05-07s.txt:141
06 式変形・整理・展開する	式を展開して整理する	1	m-jh3-A-03-02b.txt:67
06 式変形・整理・展開する	式を等号でつなげて因数分解する	2	m-jh3-A-02-05b.txt:89, m-jh3-A-02-05b.txt:125
06 式変形・整理・展開する	式を整理する	3	m-jh2-A-02-01b.txt:110, m-jh2-A-02-01s.txt:78, m-jh2-A-02-01s.txt:117
06 式変形・整理・展開する	後ろのかっこを外して同類項をまとめる	1	m-jh3-A-01-04s.txt:136
06 式変形・整理・展開する	括弧内を計算する	1	m-jh1-A-01-17s.txt:152
06 式変形・整理・展開する	数の項を右辺に移項する	4	m-jh1-A-03-05b.txt:77, m-jh1-A-03-05b.txt:114, m-jh1-A-03-06b.txt:105, m-jh1-A-03-07b.txt:101
06 式変形・整理・展開する	数式を展開し整理する	1	m-jh3-A-03-02s.txt:65
06 式変形・整理・展開する	整理する	10	m-jh3-A-01-05b.txt:86, m-jh3-A-01-05b.txt:122, m-jh3-A-01-05s.txt:87, m-jh3-A-01-05s.txt:127, m-jh3-A-04-14b.txt:100
06 式変形・整理・展開する	文字式を整理する	2	m-jh2-A-02-02b.txt:79, m-jh2-A-02-02b.txt:115
06 式変形・整理・展開する	方程式を整理する	2	m-jh3-A-05-10s.txt:86, m-jh3-A-05-10s.txt:240
06 式変形・整理・展開する	最初のかっこに分配法則を使う	1	m-jh1-A-02-09s.txt:133
06 式変形・整理・展開する	根号を整理する	1	m-jh3-A-05-04s.txt:203
06 式変形・整理・展開する	移項して同類項をまとめる	1	m-jh1-A-03-13s.txt:224
06 式変形・整理・展開する	移項する	1	m-jh3-A-01-01b.txt:60
06 式変形・整理・展開する	等号でつないでまとめる	2	m-jh2-A-01-11s.txt:90, m-jh2-A-01-11s.txt:132
06 式変形・整理・展開する	等号でつないで同類項をまとめる	6	m-jh2-A-01-04s.txt:91, m-jh2-A-01-04s.txt:137, m-jh2-A-01-05s.txt:98, m-jh2-A-01-05s.txt:148, m-jh3-A-01-03s.txt:126
06 式変形・整理・展開する	等号でつないで約分して計算する	2	m-jh2-A-01-06s.txt:121, m-jh2-A-01-07s.txt:140
06 式変形・整理・展開する	等号でつないで計算する	22	m-jh2-A-01-08b.txt:80, m-jh2-A-01-08b.txt:113, m-jh2-A-01-08s.txt:77, m-jh2-A-01-08s.txt:106, m-jh2-A-01-09b.txt:82
06 式変形・整理・展開する	通分して分母を $8$ にそろえる	1	m-jh1-A-01-08b.txt:356
06 式変形・整理・展開する	通分後の分母を書いて答える	2	m-jh1-A-01-05b.txt:345, m-jh1-A-01-08b.txt:376
06 式変形・整理・展開する	項を同類項ごとに並びかえる	9	m-jh2-A-01-04b.txt:82, m-jh2-A-01-04b.txt:121, m-jh2-A-01-04b.txt:163, m-jh2-A-01-04s.txt:83, m-jh2-A-01-04s.txt:129

## 07 因数分解・共通因数で考える
07 因数分解・共通因数で考える	$-4xy$ でくくる	1	m-jh3-A-02-01s.txt:128
07 因数分解・共通因数で考える	$540$ を素因数分解する	1	m-jh1-A-01-20s.txt:131
07 因数分解・共通因数で考える	$M$ について因数分解する	3	m-jh3-A-02-06b.txt:80, m-jh3-A-02-06b.txt:115, m-jh3-A-02-06s.txt:112
07 因数分解・共通因数で考える	$a+b=2,\ ab=-15$ になる2つの数を探す	1	m-jh3-A-05-03b.txt:102
07 因数分解・共通因数で考える	2つの項を平方の形にする	2	m-jh3-A-02-04s.txt:74, m-jh3-A-02-04s.txt:115
07 因数分解・共通因数で考える	それぞれの数を、小さい素数から順に割って素因数分解する	2	m-jh1-A-01-21s.txt:116, m-jh1-A-01-21s.txt:150
07 因数分解・共通因数で考える	それぞれを素因数分解する	1	m-jh1-A-01-20s.txt:101
07 因数分解・共通因数で考える	それぞれ素因数分解する	2	m-jh1-A-01-21b.txt:95, m-jh1-A-01-21b.txt:120
07 因数分解・共通因数で考える	係数を素因数分解する	2	m-jh3-A-02-05s.txt:73, m-jh3-A-02-05s.txt:114
07 因数分解・共通因数で考える	全ての項に共通する因数でくくりだす	1	m-jh3-A-02-01b.txt:112
07 因数分解・共通因数で考える	全ての項に共通する因数をさがしてくくりだす	1	m-jh3-A-02-01b.txt:80
07 因数分解・共通因数で考える	共通な因数 $2$ でくくる	1	m-jh2-A-02-01b.txt:77
07 因数分解・共通因数で考える	共通因数でくくり出す	1	m-jh3-A-01-01b.txt:65
07 因数分解・共通因数で考える	共通因数でくくる	1	m-jh3-A-02-01s.txt:93
07 因数分解・共通因数で考える	共通因数のくくりだし	1	m-jh1-A-01-17s.txt:147
07 因数分解・共通因数で考える	共通因数をみつける	1	m-jh3-A-02-01b.txt:72
07 因数分解・共通因数で考える	共通因数を見つける	4	m-jh3-A-02-01s.txt:85, m-jh3-A-02-01s.txt:119, m-jh3-A-02-05b.txt:76, m-jh3-A-02-05b.txt:112
07 因数分解・共通因数で考える	分子と分母を平方の形で見る	1	m-jh3-A-04-01b.txt:116
07 因数分解・共通因数で考える	分子と分母を平方の形にする	1	m-jh3-A-04-01s.txt:79
07 因数分解・共通因数で考える	因数分解した形で方程式を書き直す	2	m-jh3-A-05-03b.txt:127, m-jh3-A-05-03b.txt:224
07 因数分解・共通因数で考える	因数分解して解く	6	m-jh3-A-05-03s.txt:88, m-jh3-A-05-03s.txt:128, m-jh3-A-05-09b.txt:97, m-jh3-A-05-09b.txt:152, m-jh3-A-05-10b.txt:107
07 因数分解・共通因数で考える	因数分解する	8	m-jh3-A-02-02s.txt:109, m-jh3-A-02-02s.txt:157, m-jh3-A-02-03s.txt:97, m-jh3-A-02-03s.txt:148, m-jh3-A-05-07b.txt:91
07 因数分解・共通因数で考える	因数分解に使う2つの数を探す	1	m-jh3-A-05-03s.txt:81
07 因数分解・共通因数で考える	因数分解をする	2	m-jh3-A-02-02b.txt:111, m-jh3-A-02-02b.txt:181
07 因数分解・共通因数で考える	左辺を因数分解する	3	m-jh3-A-05-03s.txt:154, m-jh3-A-05-07s.txt:98, m-jh3-A-05-09s.txt:153
07 因数分解・共通因数で考える	左辺を平方の形にする	2	m-jh3-A-05-05b.txt:108, m-jh3-A-05-05b.txt:164
07 因数分解・共通因数で考える	平方の形にまとめる	1	m-jh1-A-01-21s.txt:94
07 因数分解・共通因数で考える	最大公約数を求めるために、2つの数を素因数分解する	1	m-jh1-A-01-20b.txt:172

## 08 計算する・値を求める
08 計算する・値を求める	$-12$ を分配すると分母が消えて計算しやすいと判断する	1	m-jh1-A-01-17s.txt:256
08 計算する・値を求める	$0$ との加法として計算する	1	m-jh1-A-01-07b.txt:208
08 計算する・値を求める	$10$ 秒後から $20$ 秒後までの平均の速さを求める	1	m-jh3-B-01-08b.txt:183
08 計算する・値を求める	$20$ を分配すると分母が消えて計算しやすいと判断する	1	m-jh1-A-01-17s.txt:220
08 計算する・値を求める	$20$ 秒後から $30$ 秒後までの平均の速さを求める	1	m-jh3-B-01-08b.txt:213
08 計算する・値を求める	$22^\circ$ に対応する中心角を求める	1	m-jh3-C-02-02b.txt:333
08 計算する・値を求める	$40\leqq x\leqq 70$ の式を求める	1	m-jh2-B-01-19b.txt:190
08 計算する・値を求める	$8$ 分後から $14$ 分後までの変化の割合を求める	1	m-jh2-B-01-19b.txt:276
08 計算する・値を求める	$8\leqq x\leqq 14$ の式を求める	1	m-jh2-B-01-19b.txt:283
08 計算する・値を求める	$AB$ を求める	1	m-jh3-C-01-03b.txt:298
08 計算する・値を求める	$EF$ を求める	1	m-jh3-C-01-09b.txt:273
08 計算する・値を求める	$EG$ を求める	1	m-jh3-C-01-09b.txt:302
08 計算する・値を求める	$EH$ を求める	1	m-jh3-C-01-03b.txt:313
08 計算する・値を求める	$FG$ の長さを求める	1	m-jh3-C-01-01b.txt:256
08 計算する・値を求める	$FG$ を求める	1	m-jh3-C-01-09b.txt:292
08 計算する・値を求める	$Q$ の面積を求める	1	m-jh3-C-01-06b.txt:116
08 計算する・値を求める	$\angle C$ を求める	2	m-jh2-C-02-01b.txt:99, m-jh2-C-02-03b.txt:134
08 計算する・値を求める	$\left(2\sqrt{2}\right)^2$ を計算する	1	m-jh3-A-04-15s.txt:192
08 計算する・値を求める	$a$ を求める	5	m-jh1-A-03-09b.txt:72, m-jh1-A-03-09b.txt:113, m-jh1-B-03-04b.txt:115, m-jh3-A-05-08b.txt:80, m-jh3-A-05-08b.txt:137
08 計算する・値を求める	$x$ の増加量が $1$ のとき	1	m-jh2-B-01-02b.txt:163
08 計算する・値を求める	$x$ の増加量が $8$ のとき	1	m-jh2-B-01-02b.txt:169
08 計算する・値を求める	$x$ の増加量と $y$ の増加量を求める	1	m-jh2-B-01-02b.txt:110
08 計算する・値を求める	$x$ の増加量を求める	3	m-jh2-B-01-01b.txt:104, m-jh2-B-01-01b.txt:163, m-jh2-B-01-01b.txt:198
08 計算する・値を求める	$x$ を求める	25	m-jh1-B-03-02b.txt:85, m-jh1-B-03-02b.txt:120, m-jh1-B-03-02b.txt:154, m-jh2-A-03-02b.txt:163, m-jh2-A-03-05s.txt:109
08 計算する・値を求める	$x=2$，$x=6$ のときの $y$ の値を求める	1	m-jh3-B-01-05b.txt:262
08 計算する・値を求める	$x=4$ のときの面積を求める	1	m-jh3-B-01-09b.txt:228
08 計算する・値を求める	$y$ の値を求める	2	m-jh1-B-01-13b.txt:125, m-jh1-B-01-13b.txt:191
08 計算する・値を求める	$y$ の増加量を求める	4	m-jh2-B-01-01b.txt:111, m-jh2-B-01-01b.txt:169, m-jh2-B-01-01b.txt:204, m-jh2-B-01-02b.txt:212
08 計算する・値を求める	$y$ を求める	10	m-jh2-A-03-02b.txt:101, m-jh2-A-03-02s.txt:102, m-jh2-A-03-02s.txt:165, m-jh2-A-03-03s.txt:114, m-jh2-A-03-03s.txt:200
08 計算する・値を求める	(1) $0$ 秒後から $3$ 秒後までの平均の速さを求める	1	m-jh3-B-01-05b.txt:333
08 計算する・値を求める	(1) $x=0$ と $x=3$ のときの $y$ の値を求める	1	m-jh3-B-01-07b.txt:189
08 計算する・値を求める	(1) $x=1$ と $x=4$ のときの $y$ の値を求める	1	m-jh3-B-01-07b.txt:117
08 計算する・値を求める	(1) $x=1$，$x=3$ のときの $y$ の値を求める	1	m-jh3-B-01-05b.txt:186
08 計算する・値を求める	(1) $x=1$，$x=5$ のときの $y$ の値を求める	1	m-jh3-B-01-05b.txt:118
08 計算する・値を求める	(1) 変化の割合を求める	4	m-jh3-B-01-05b.txt:129, m-jh3-B-01-05b.txt:197, m-jh3-B-01-07b.txt:126, m-jh3-B-01-07b.txt:197
08 計算する・値を求める	(2) $2$ 秒後から $5$ 秒後までの平均の速さを求める	1	m-jh3-B-01-05b.txt:354
08 計算する・値を求める	(2) $x=-3$ と $x=-1$ のときの $y$ の値を求める	1	m-jh3-B-01-07b.txt:138
